chain_id	chain_status	missing_steps	ligand_node_id	ligand_label	ligand_receptor_edge_id	ligand_receptor_pathway	receptor_node_id	receptor_label	receptor_tf_edge_id	receptor_tf_pathway	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	tf_target_pathway	target_gene_node_id	target_gene_label	target_relation	module_sequence	evidence_ids
CHAIN:00047	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000343	target_gene	NODE08803	PCB/PC target gene	induces_target_gene	22B	M22B-EVID-000277
CHAIN:00048	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000346	target_gene	NODE04960	ID1	induces_target_gene	22B	M22B-EVID-000016
CHAIN:00049	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000353	target_gene	NODE04960	Id1	induces_target_gene	22B	M22B-EVID-000037
CHAIN:00050	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000354	target_gene	NODE10474	Smad7	induces_target_gene	22B	M22B-EVID-000088
CHAIN:00051	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000378	target_gene	NODE03837	Fst	regulates_target_gene	22B	M22B-EVID-000378
CHAIN:00052	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000381	target_gene	NODE11721	VEGFA	induces_target_gene	22B	M22B-EVID-000379
CHAIN:00053	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000391	target_gene	NODE02344	COL1A2	induces_target_gene	22B	M22B-EVID-000021
CHAIN:00054	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000392	target_gene	NODE02574	CTGF/CCN2	induces_target_gene	22B	M22B-EVID-000022
CHAIN:00055	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000393	target_gene	NODE06055	JUN/c-JUN	induces_target_gene	22B	M22B-EVID-000020
CHAIN:00056	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000394	target_gene	NODE10252	SERPINE1/PAI-1	induces_target_gene	22B	M22B-EVID-000019
CHAIN:00057	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000416	target_gene	NODE05283	Il10	induces_target_gene	22B	M22B-EVID-000005;M22B-EVID-000031
CHAIN:00058	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000455	target_gene	NODE01754	Ccnd1	induces_target_gene	22B	M22B-EVID-000077
CHAIN:00059	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000456	target_gene	NODE02197	Cish	induces_target_gene	22B	M22B-EVID-000028
CHAIN:00060	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000457	target_gene	NODE02548	Csn2	induces_target_gene	22B	M22B-EVID-000072
CHAIN:00061	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000461	target_gene	NODE06223	LAMA5 transcriptional feedback in the laminin-511-alpha6Bbeta1-TAZ stemness circuit	regulates_target_gene	22B	M22B-EVID-000185
CHAIN:00062	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000481	target_gene	NODE02857	DIO3	induces_target_gene	22B	M22B-EVID-000117
CHAIN:00063	partial	ligand_to_receptor;receptor_to_transcription_factor											M22B-E000483	target_gene	NODE02742	CYP24A1	induces_target_gene	22B	M22B-EVID-000443
CHAIN:00064	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE02297	Cntn2	M20B-E000370	Synaptic/cell-adhesion receptor family	NODE02300	CNTN2_CNTNAP2										20B	M20B-EVID-000370
CHAIN:00065	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE02667	Cxcl3	M20B-E000398	GPCR receptor family	NODE02701	Cxcr2										20B	M20B-EVID-000398
CHAIN:00066	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE03108	Egf	M20B-E000450	RTK growth-factor receptor family	NODE03111	Egfr										20B	M20B-EVID-000450
CHAIN:00067	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE03354	Ereg	M20B-E000452	RTK growth-factor receptor family	NODE03111	Egfr										20B	M20B-EVID-000452
CHAIN:00068	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE03728	Flrt2	M20B-E000472	Axon-guidance/adhesion receptor family	NODE11595	Unc5d										20B	M20B-EVID-000472
CHAIN:00069	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE03730	Flrt3	M20B-E000475	Axon-guidance/adhesion receptor family	NODE00293	Adgrl3										20B	M20B-EVID-000475
CHAIN:00070	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE03730	Flrt3	M20B-E000478	Axon-guidance/adhesion receptor family	NODE11589	Unc5b										20B	M20B-EVID-000478
CHAIN:00071	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE04029	Gdf11	M20B-E000726	TGF-beta/BMP receptor family	NODE11022	Tgfbr1_acvr2b										20B	M20B-EVID-000726
CHAIN:00072	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE04038	Gdf5	M20B-E000731	TGF-beta/BMP receptor family	NODE01333	Bmpr1b_acvr2a										20B	M20B-EVID-000731
CHAIN:00073	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE04610	Hbegf	M20B-E001250	RTK growth-factor receptor family	NODE03111	Egfr										20B	M20B-EVID-001250
CHAIN:00074	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE04610	Hbegf	M20B-E001251	RTK growth-factor receptor family	NODE03349	Erbb4										20B	M20B-EVID-001251
CHAIN:00075	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE08359	Nrxn1	M20B-E001461	Axon-guidance/adhesion receptor family	NODE00288	Adgrl1										20B	M20B-EVID-001461
CHAIN:00076	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE08377	Nrxn2	M20B-E001470	Axon-guidance/adhesion receptor family	NODE00288	Adgrl1										20B	M20B-EVID-001470
CHAIN:00077	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE08382	Nrxn3	M20B-E001479	Axon-guidance/adhesion receptor family	NODE00288	Adgrl1										20B	M20B-EVID-001479
CHAIN:00078	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE08940	PGD2-PTGDS	M20B-E001576	Pathway not established	NODE09430	Ptgdr										20B	M20B-EVID-001576
CHAIN:00079	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE08940	PGD2-PTGDS	M20B-E001577	Pathway not established	NODE09432	Ptgdr2										20B	M20B-EVID-001577
CHAIN:00080	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10170	Selplg	M20B-E001670	Pathway not established	NODE10158	Sele										20B	M20B-EVID-001670
CHAIN:00081	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10232	Sema7a	M20B-E001677	ECM/integrin adhesion receptor family	NODE05961	ITGB1_ITGA1										20B	M20B-EVID-001677
CHAIN:00082	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10957	Tenm3	M20B-E001724	Axon-guidance/adhesion receptor family	NODE00291	Adgrl2										20B	M20B-EVID-001724
CHAIN:00083	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01181	Bdnf	M20B-E001776	Scavenger/uptake-associated receptor family	NODE10525	Sort1										20B	M20B-EVID-001776
CHAIN:00084	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01635	Ccl11	M20B-E001778	GPCR receptor family	NODE00142	Ackr2										20B	M20B-EVID-001778
CHAIN:00085	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01650	Ccl17	M20B-E001779	GPCR receptor family	NODE00142	Ackr2										20B	M20B-EVID-001779
CHAIN:00086	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01661	Ccl2	M20B-E001780	GPCR receptor family	NODE00142	Ackr2										20B	M20B-EVID-001780
CHAIN:00087	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01661	Ccl2	M20B-E001781	GPCR receptor family	NODE01767	Ccr2										20B	M20B-EVID-001781
CHAIN:00088	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01688	Ccl21b	M20B-E001782	GPCR receptor family	NODE00147	Ackr4										20B	M20B-EVID-001782
CHAIN:00089	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01692	Ccl22	M20B-E001783	GPCR receptor family	NODE00142	Ackr2										20B	M20B-EVID-001783
CHAIN:00090	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01703	Ccl25	M20B-E001785	GPCR receptor family	NODE00147	Ackr4										20B	M20B-EVID-001785
CHAIN:00091	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01712	Ccl27b	M20B-E001786	GPCR receptor family	NODE01765	Ccr10										20B	M20B-EVID-001786
CHAIN:00092	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01724	Ccl4	M20B-E001788	GPCR receptor family	NODE00142	Ackr2										20B	M20B-EVID-001788
CHAIN:00093	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE04031	Gdf15	M20B-E001789	TGF-beta/BMP receptor family	NODE11023	Tgfbr2										20B	M20B-EVID-001789
CHAIN:00094	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10398	Slit1	M20B-E001790	Axon-guidance/adhesion receptor family	NODE09832	Robo1										20B	M20B-EVID-001790
CHAIN:00095	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10400	Slit2	M20B-E001791	Axon-guidance/adhesion receptor family	NODE09832	Robo1										20B	M20B-EVID-001791
CHAIN:00096	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10400	Slit2	M20B-E001792	Axon-guidance/adhesion receptor family	NODE09835	Robo2										20B	M20B-EVID-001792
CHAIN:00097	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10413	Slitrk1	M20B-E001793	Synaptic/cell-adhesion receptor family	NODE09525	Ptprs										20B	M20B-EVID-001793
CHAIN:00098	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10414	Slitrk2	M20B-E001794	Synaptic/cell-adhesion receptor family	NODE09525	Ptprs										20B	M20B-EVID-001794
CHAIN:00099	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE10421	Slitrk6	M20B-E001795	Synaptic/cell-adhesion receptor family	NODE09525	Ptprs										20B	M20B-EVID-001795
CHAIN:00100	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE11865	Wnt5a	M20B-E001796	ECM/integrin adhesion receptor family	NODE06869	Mcam										20B	M20B-EVID-001796
CHAIN:00101	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE00508	Amh	M20B-E001797	TGF-beta/BMP receptor family	NODE00513	AMHR2_BMPR1A										20B	M20B-EVID-001797
CHAIN:00102	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE00508	Amh	M20B-E001798	TGF-beta/BMP receptor family	NODE00514	AMHR2_BMPR1B										20B	M20B-EVID-001798
CHAIN:00103	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE00735	Areg	M20B-E001799	RTK growth-factor receptor family	NODE03133	EGFR_ERBB2										20B	M20B-EVID-001799
CHAIN:00104	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE00774	Artn	M20B-E001800	Pathway not established	NODE04079	GFRA1_RET										20B	M20B-EVID-001800
CHAIN:00105	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE00774	Artn	M20B-E001801	Pathway not established	NODE04085	GFRA3_RET										20B	M20B-EVID-001801
CHAIN:00106	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01181	Bdnf	M20B-E001802	RTK growth-factor receptor family	NODE08424	Ntrk2										20B	M20B-EVID-001802
CHAIN:00107	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01291	Bmp10	M20B-E001803	TGF-beta/BMP receptor family	NODE00224	ACVRL1_ACVR2A										20B	M20B-EVID-001803
CHAIN:00108	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01291	Bmp10	M20B-E001804	TGF-beta/BMP receptor family	NODE00225	ACVRL1_BMPR2										20B	M20B-EVID-001804
CHAIN:00109	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01293	Bmp15	M20B-E001805	TGF-beta/BMP receptor family	NODE01335	BMPR1B_BMPR2										20B	M20B-EVID-001805
CHAIN:00110	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01295	Bmp2	M20B-E001806	TGF-beta/BMP receptor family	NODE01326	BMPR1A_ACVR2A										20B	M20B-EVID-001806
CHAIN:00111	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01295	Bmp2	M20B-E001807	TGF-beta/BMP receptor family	NODE01327	BMPR1A_ACVR2B										20B	M20B-EVID-001807
CHAIN:00112	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01295	Bmp2	M20B-E001808	TGF-beta/BMP receptor family	NODE01328	BMPR1A_BMPR2										20B	M20B-EVID-001808
CHAIN:00113	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01295	Bmp2	M20B-E001809	TGF-beta/BMP receptor family	NODE01333	BMPR1B_ACVR2A										20B	M20B-EVID-001809
CHAIN:00114	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01295	Bmp2	M20B-E001810	TGF-beta/BMP receptor family	NODE01334	BMPR1B_ACVR2B										20B	M20B-EVID-001810
CHAIN:00115	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01295	Bmp2	M20B-E001811	TGF-beta/BMP receptor family	NODE01335	BMPR1B_BMPR2										20B	M20B-EVID-001811
CHAIN:00116	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01299	Bmp4	M20B-E001812	TGF-beta/BMP receptor family	NODE01326	BMPR1A_ACVR2A										20B	M20B-EVID-001812
CHAIN:00117	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01299	Bmp4	M20B-E001813	TGF-beta/BMP receptor family	NODE01327	BMPR1A_ACVR2B										20B	M20B-EVID-001813
CHAIN:00118	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01299	Bmp4	M20B-E001814	TGF-beta/BMP receptor family	NODE01328	BMPR1A_BMPR2										20B	M20B-EVID-001814
CHAIN:00119	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01299	Bmp4	M20B-E001815	TGF-beta/BMP receptor family	NODE01333	BMPR1B_ACVR2A										20B	M20B-EVID-001815
CHAIN:00120	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01299	Bmp4	M20B-E001816	TGF-beta/BMP receptor family	NODE01334	BMPR1B_ACVR2B										20B	M20B-EVID-001816
CHAIN:00121	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01299	Bmp4	M20B-E001817	TGF-beta/BMP receptor family	NODE01335	BMPR1B_BMPR2										20B	M20B-EVID-001817
CHAIN:00122	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001818	TGF-beta/BMP receptor family	NODE00184	ACVR1_ACVR2A										20B	M20B-EVID-001818
CHAIN:00123	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001819	TGF-beta/BMP receptor family	NODE00185	ACVR1_ACVR2B										20B	M20B-EVID-001819
CHAIN:00124	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001820	TGF-beta/BMP receptor family	NODE00187	ACVR1_BMPR2										20B	M20B-EVID-001820
CHAIN:00125	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001821	TGF-beta/BMP receptor family	NODE01326	BMPR1A_ACVR2A										20B	M20B-EVID-001821
CHAIN:00126	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001822	TGF-beta/BMP receptor family	NODE01327	BMPR1A_ACVR2B										20B	M20B-EVID-001822
CHAIN:00127	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001823	TGF-beta/BMP receptor family	NODE01328	BMPR1A_BMPR2										20B	M20B-EVID-001823
CHAIN:00128	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001824	TGF-beta/BMP receptor family	NODE01333	BMPR1B_ACVR2A										20B	M20B-EVID-001824
CHAIN:00129	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001825	TGF-beta/BMP receptor family	NODE01334	BMPR1B_ACVR2B										20B	M20B-EVID-001825
CHAIN:00130	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01303	Bmp5	M20B-E001826	TGF-beta/BMP receptor family	NODE01335	BMPR1B_BMPR2										20B	M20B-EVID-001826
CHAIN:00131	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001827	TGF-beta/BMP receptor family	NODE00184	ACVR1_ACVR2A										20B	M20B-EVID-001827
CHAIN:00132	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001828	TGF-beta/BMP receptor family	NODE00185	ACVR1_ACVR2B										20B	M20B-EVID-001828
CHAIN:00133	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001829	TGF-beta/BMP receptor family	NODE00187	ACVR1_BMPR2										20B	M20B-EVID-001829
CHAIN:00134	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001830	TGF-beta/BMP receptor family	NODE01326	BMPR1A_ACVR2A										20B	M20B-EVID-001830
CHAIN:00135	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001831	TGF-beta/BMP receptor family	NODE01327	BMPR1A_ACVR2B										20B	M20B-EVID-001831
CHAIN:00136	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001832	TGF-beta/BMP receptor family	NODE01328	BMPR1A_BMPR2										20B	M20B-EVID-001832
CHAIN:00137	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001833	TGF-beta/BMP receptor family	NODE01333	BMPR1B_ACVR2A										20B	M20B-EVID-001833
CHAIN:00138	partial	receptor_to_transcription_factor;transcription_factor_to_target_gene	NODE01305	Bmp6	M20B-E001834	TGF-beta/BMP receptor family	NODE01334	BMPR1B_ACVR2B										20B	M20B-EVID-001834
