pair_key	pair_label_canonical	liana_status	module20a_status	review_id	current_confidence	prior_notes
tnr itgav_itgb6	Tnr ITGAV_ITGB6	liana_consensus	no	M20A-EXT-0498	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnr sdc1	Tnr Sdc1	liana_consensus	no	M20A-EXT-0499	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnxb itga2b_itgb3	Tnxb ITGA2B_ITGB3	liana_consensus	no	M20A-EXT-0500	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnxb itga8_itgb1	Tnxb ITGA8_ITGB1	liana_consensus	no	M20A-EXT-0501	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnxb itga9_itgb1	Tnxb ITGA9_ITGB1	liana_consensus	no	M20A-EXT-0502	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
tnxb itgav_itgb6	Tnxb ITGAV_ITGB6	liana_consensus	no	M20A-EXT-0504	uncertain	Parallel worker evidence packet integrated with conservative species-specific reconciliation; see source locator and worker output for pair-level rationale.
vegfa flt1_kdr	Vegfa Flt1_kdr	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
vegfa nrp1	Vegfa Nrp1	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
vegfc flt4_kdr	Vegfc Flt4_kdr	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd10_lrp5	Wnt1 Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd10_lrp6	Wnt1 Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd1_lrp5	Wnt1 Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd1_lrp6	Wnt1 Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd2_lrp5	Wnt1 Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd2_lrp6	Wnt1 Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd3_lrp5	Wnt1 Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd3_lrp6	Wnt1 Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd4_lrp5	Wnt1 Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd4_lrp6	Wnt1 Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd5_lrp5	Wnt1 Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd5_lrp6	Wnt1 Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd6_lrp5	Wnt1 Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd6_lrp6	Wnt1 Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd7_lrp5	Wnt1 Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd7_lrp6	Wnt1 Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd8_lrp5	Wnt1 Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd8_lrp6	Wnt1 Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd9_lrp5	Wnt1 Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 fzd9_lrp6	Wnt1 Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt1 ryk	Wnt1 Ryk	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd10_lrp5	Wnt10a Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd10_lrp6	Wnt10a Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd1_lrp5	Wnt10a Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd1_lrp6	Wnt10a Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd2_lrp5	Wnt10a Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd2_lrp6	Wnt10a Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd3_lrp5	Wnt10a Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd3_lrp6	Wnt10a Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd4_lrp5	Wnt10a Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd4_lrp6	Wnt10a Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd5_lrp5	Wnt10a Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd5_lrp6	Wnt10a Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd6_lrp5	Wnt10a Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd6_lrp6	Wnt10a Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd7_lrp5	Wnt10a Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd7_lrp6	Wnt10a Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd8_lrp5	Wnt10a Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd8_lrp6	Wnt10a Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd9_lrp5	Wnt10a Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10a fzd9_lrp6	Wnt10a Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd10_lrp5	Wnt10b Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd10_lrp6	Wnt10b Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd1_lrp5	Wnt10b Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd1_lrp6	Wnt10b Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd2_lrp5	Wnt10b Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd2_lrp6	Wnt10b Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd3_lrp5	Wnt10b Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd3_lrp6	Wnt10b Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd4_lrp5	Wnt10b Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd4_lrp6	Wnt10b Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd5_lrp5	Wnt10b Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd5_lrp6	Wnt10b Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd6_lrp5	Wnt10b Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd6_lrp6	Wnt10b Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd7_lrp5	Wnt10b Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd7_lrp6	Wnt10b Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd8_lrp5	Wnt10b Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd8_lrp6	Wnt10b Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd9_lrp5	Wnt10b Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt10b fzd9_lrp6	Wnt10b Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd10	Wnt11 Fzd10	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd2	Wnt11 Fzd2	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd3	Wnt11 Fzd3	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd4	Wnt11 Fzd4	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd5	Wnt11 Fzd5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd6	Wnt11 Fzd6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd7	Wnt11 Fzd7	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd8	Wnt11 Fzd8	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 fzd9	Wnt11 Fzd9	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt11 musk	Wnt11 Musk	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd10_lrp5	Wnt16 Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd10_lrp6	Wnt16 Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd1_lrp5	Wnt16 Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd1_lrp6	Wnt16 Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd2_lrp5	Wnt16 Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd2_lrp6	Wnt16 Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd3_lrp5	Wnt16 Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd3_lrp6	Wnt16 Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd4_lrp5	Wnt16 Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd4_lrp6	Wnt16 Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd5_lrp5	Wnt16 Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd5_lrp6	Wnt16 Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd6_lrp5	Wnt16 Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd6_lrp6	Wnt16 Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd7_lrp5	Wnt16 Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd7_lrp6	Wnt16 Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd8_lrp5	Wnt16 Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd8_lrp6	Wnt16 Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd9_lrp5	Wnt16 Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt16 fzd9_lrp6	Wnt16 Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd10_lrp5	Wnt2 Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd10_lrp6	Wnt2 Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd1_lrp5	Wnt2 Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd1_lrp6	Wnt2 Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd2_lrp5	Wnt2 Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd2_lrp6	Wnt2 Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd3_lrp5	Wnt2 Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd3_lrp6	Wnt2 Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd4_lrp5	Wnt2 Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd4_lrp6	Wnt2 Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd5_lrp5	Wnt2 Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd5_lrp6	Wnt2 Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd6_lrp5	Wnt2 Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd6_lrp6	Wnt2 Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd7_lrp5	Wnt2 Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd7_lrp6	Wnt2 Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd8_lrp5	Wnt2 Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd8_lrp6	Wnt2 Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd9_lrp5	Wnt2 Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2 fzd9_lrp6	Wnt2 Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd10_lrp5	Wnt2b Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd10_lrp6	Wnt2b Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd1_lrp5	Wnt2b Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd1_lrp6	Wnt2b Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd2_lrp5	Wnt2b Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd2_lrp6	Wnt2b Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd3_lrp5	Wnt2b Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd3_lrp6	Wnt2b Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd4_lrp5	Wnt2b Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd4_lrp6	Wnt2b Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd5_lrp5	Wnt2b Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd5_lrp6	Wnt2b Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd6_lrp5	Wnt2b Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd6_lrp6	Wnt2b Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd7_lrp5	Wnt2b Fzd7_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd7_lrp6	Wnt2b Fzd7_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd8_lrp5	Wnt2b Fzd8_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd8_lrp6	Wnt2b Fzd8_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd9_lrp5	Wnt2b Fzd9_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt2b fzd9_lrp6	Wnt2b Fzd9_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd10_lrp5	Wnt3 Fzd10_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd10_lrp6	Wnt3 Fzd10_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd1_lrp5	Wnt3 Fzd1_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd1_lrp6	Wnt3 Fzd1_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd2_lrp5	Wnt3 Fzd2_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd2_lrp6	Wnt3 Fzd2_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd3_lrp5	Wnt3 Fzd3_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd3_lrp6	Wnt3 Fzd3_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd4_lrp5	Wnt3 Fzd4_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd4_lrp6	Wnt3 Fzd4_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd5_lrp5	Wnt3 Fzd5_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd5_lrp6	Wnt3 Fzd5_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd6_lrp5	Wnt3 Fzd6_lrp5	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
wnt3 fzd6_lrp6	Wnt3 Fzd6_lrp6	liana_consensus	yes		unreviewed	not_in_module20a_review_queue
